context,question,answer
"Title: Superhero burpee. Desc: The superhero burpee is an advanced variation of the burpee exercise. The main difference between this and the standard burpee is that while on the floor, the hands are extended in front of the body like Superman taking flight. This increases the challenge to the upper back and shoulders. These can be performed for time or reps as part of any fat-loss or athleticism-focused workout or circuit.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What equipment is needed for Superhero burpee?,Body Only
"Title: Superhero burpee. Desc: The superhero burpee is an advanced variation of the burpee exercise. The main difference between this and the standard burpee is that while on the floor, the hands are extended in front of the body like Superman taking flight. This increases the challenge to the upper back and shoulders. These can be performed for time or reps as part of any fat-loss or athleticism-focused workout or circuit.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What is the difficulty level of Superhero burpee?,Intermediate
"Title: Superhero burpee. Desc: The superhero burpee is an advanced variation of the burpee exercise. The main difference between this and the standard burpee is that while on the floor, the hands are extended in front of the body like Superman taking flight. This increases the challenge to the upper back and shoulders. These can be performed for time or reps as part of any fat-loss or athleticism-focused workout or circuit.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Describe the Superhero burpee exercise.,"The superhero burpee is an advanced variation of the burpee exercise. The main difference between this and the standard burpee is that while on the floor, the hands are extended in front of the body like Superman taking flight. This increases the challenge to the upper back and shoulders. These can be performed for time or reps as part of any fat-loss or athleticism-focused workout or circuit."
"Title: Hollow-body abduction. Desc: The hollow-body abduction is an isometric core exercise that includes leg abductions for an added challenge to the core and abductors. It targets multiple muscles of the core, but particularly the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Which muscles does Hollow-body abduction target?,Abdominals
"Title: Hollow-body abduction. Desc: The hollow-body abduction is an isometric core exercise that includes leg abductions for an added challenge to the core and abductors. It targets multiple muscles of the core, but particularly the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What equipment is needed for Hollow-body abduction?,Body Only
"Title: Hollow-body abduction. Desc: The hollow-body abduction is an isometric core exercise that includes leg abductions for an added challenge to the core and abductors. It targets multiple muscles of the core, but particularly the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What is the difficulty level of Hollow-body abduction?,Intermediate
"Title: Hollow-body abduction. Desc: The hollow-body abduction is an isometric core exercise that includes leg abductions for an added challenge to the core and abductors. It targets multiple muscles of the core, but particularly the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Describe the Hollow-body abduction exercise.,"The hollow-body abduction is an isometric core exercise that includes leg abductions for an added challenge to the core and abductors. It targets multiple muscles of the core, but particularly the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout."
Title: FYR Hollow Hold. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate,Which muscles does FYR Hollow Hold target?,Abdominals
Title: FYR Hollow Hold. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate,What equipment is needed for FYR Hollow Hold?,Body Only
Title: FYR Hollow Hold. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate,What is the difficulty level of FYR Hollow Hold?,Intermediate
Title: Tip-toe crunch. Desc: The tip-toe crunch is a variation on the crunch exercise that involves placing the toes on or near the ground. This can help isolate the abs from the hip flexors. The tip-toe crunch can be performed for time or for reps as part of the core-focused component of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate,Which muscles does Tip-toe crunch target?,Abdominals
Title: Tip-toe crunch. Desc: The tip-toe crunch is a variation on the crunch exercise that involves placing the toes on or near the ground. This can help isolate the abs from the hip flexors. The tip-toe crunch can be performed for time or for reps as part of the core-focused component of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate,What equipment is needed for Tip-toe crunch?,Body Only
Title: Tip-toe crunch. Desc: The tip-toe crunch is a variation on the crunch exercise that involves placing the toes on or near the ground. This can help isolate the abs from the hip flexors. The tip-toe crunch can be performed for time or for reps as part of the core-focused component of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate,What is the difficulty level of Tip-toe crunch?,Intermediate
Title: Tip-toe crunch. Desc: The tip-toe crunch is a variation on the crunch exercise that involves placing the toes on or near the ground. This can help isolate the abs from the hip flexors. The tip-toe crunch can be performed for time or for reps as part of the core-focused component of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate,Describe the Tip-toe crunch exercise.,The tip-toe crunch is a variation on the crunch exercise that involves placing the toes on or near the ground. This can help isolate the abs from the hip flexors. The tip-toe crunch can be performed for time or for reps as part of the core-focused component of any workout.
"Title: Knee-to-nose pulse. Desc: The knee-to-nose pulse is a bodyweight exercise that targets the core by pulsing your knee toward your nose. It starts in a straight-arm plank position, and is similar to a mountain climber, but with a hold or pause in the bent-knee position.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Which muscles does Knee-to-nose pulse target?,Abdominals
"Title: Knee-to-nose pulse. Desc: The knee-to-nose pulse is a bodyweight exercise that targets the core by pulsing your knee toward your nose. It starts in a straight-arm plank position, and is similar to a mountain climber, but with a hold or pause in the bent-knee position.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What equipment is needed for Knee-to-nose pulse?,Body Only
"Title: Knee-to-nose pulse. Desc: The knee-to-nose pulse is a bodyweight exercise that targets the core by pulsing your knee toward your nose. It starts in a straight-arm plank position, and is similar to a mountain climber, but with a hold or pause in the bent-knee position.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What is the difficulty level of Knee-to-nose pulse?,Intermediate
"Title: Knee-to-nose pulse. Desc: The knee-to-nose pulse is a bodyweight exercise that targets the core by pulsing your knee toward your nose. It starts in a straight-arm plank position, and is similar to a mountain climber, but with a hold or pause in the bent-knee position.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Describe the Knee-to-nose pulse exercise.,"The knee-to-nose pulse is a bodyweight exercise that targets the core by pulsing your knee toward your nose. It starts in a straight-arm plank position, and is similar to a mountain climber, but with a hold or pause in the bent-knee position."
"Title: Plank walk-out. Desc: The plank walk-out is an advanced plank variation targeting the core and shoulders. From a standing position, the lifter descends into a plank-type position but “walks” the hands forward until they are out in front of the head. This is far more challenging to the core than having the arms directly under the shoulders. Beginners will need to progress to this exercise.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Which muscles does Plank walk-out target?,Abdominals
"Title: Plank walk-out. Desc: The plank walk-out is an advanced plank variation targeting the core and shoulders. From a standing position, the lifter descends into a plank-type position but “walks” the hands forward until they are out in front of the head. This is far more challenging to the core than having the arms directly under the shoulders. Beginners will need to progress to this exercise.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What equipment is needed for Plank walk-out?,Body Only
"Title: Plank walk-out. Desc: The plank walk-out is an advanced plank variation targeting the core and shoulders. From a standing position, the lifter descends into a plank-type position but “walks” the hands forward until they are out in front of the head. This is far more challenging to the core than having the arms directly under the shoulders. Beginners will need to progress to this exercise.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What is the difficulty level of Plank walk-out?,Intermediate
"Title: Plank walk-out. Desc: The plank walk-out is an advanced plank variation targeting the core and shoulders. From a standing position, the lifter descends into a plank-type position but “walks” the hands forward until they are out in front of the head. This is far more challenging to the core than having the arms directly under the shoulders. Beginners will need to progress to this exercise.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Describe the Plank walk-out exercise.,"The plank walk-out is an advanced plank variation targeting the core and shoulders. From a standing position, the lifter descends into a plank-type position but “walks” the hands forward until they are out in front of the head. This is far more challenging to the core than having the arms directly under the shoulders. Beginners will need to progress to this exercise."
"Title: FYR V-Up. Desc: The V-up is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a suitcase crunch, but the lower back lifts off the ground at the top of each rep. It can be performed for time or reps in the ab-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Which muscles does FYR V-Up target?,Abdominals
"Title: FYR V-Up. Desc: The V-up is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a suitcase crunch, but the lower back lifts off the ground at the top of each rep. It can be performed for time or reps in the ab-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What equipment is needed for FYR V-Up?,Body Only
"Title: FYR V-Up. Desc: The V-up is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a suitcase crunch, but the lower back lifts off the ground at the top of each rep. It can be performed for time or reps in the ab-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What is the difficulty level of FYR V-Up?,Intermediate
"Title: FYR V-Up. Desc: The V-up is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a suitcase crunch, but the lower back lifts off the ground at the top of each rep. It can be performed for time or reps in the ab-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Describe the FYR V-Up exercise.,"The V-up is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a suitcase crunch, but the lower back lifts off the ground at the top of each rep. It can be performed for time or reps in the ab-focused portion of any workout."
"Title: Long sit-up. Desc: The long sit-up is an advanced version of the sit-up exercise that is performed with the hands reaching over the head. This lengthens the torso, making it harder for the abs to contract and lift the upper body. Long sit-ups can be performed for time or for reps, with the feet anchored or free.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Which muscles does Long sit-up target?,Abdominals
"Title: Long sit-up. Desc: The long sit-up is an advanced version of the sit-up exercise that is performed with the hands reaching over the head. This lengthens the torso, making it harder for the abs to contract and lift the upper body. Long sit-ups can be performed for time or for reps, with the feet anchored or free.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What equipment is needed for Long sit-up?,Body Only
"Title: Long sit-up. Desc: The long sit-up is an advanced version of the sit-up exercise that is performed with the hands reaching over the head. This lengthens the torso, making it harder for the abs to contract and lift the upper body. Long sit-ups can be performed for time or for reps, with the feet anchored or free.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What is the difficulty level of Long sit-up?,Intermediate
"Title: Long sit-up. Desc: The long sit-up is an advanced version of the sit-up exercise that is performed with the hands reaching over the head. This lengthens the torso, making it harder for the abs to contract and lift the upper body. Long sit-ups can be performed for time or for reps, with the feet anchored or free.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Describe the Long sit-up exercise.,"The long sit-up is an advanced version of the sit-up exercise that is performed with the hands reaching over the head. This lengthens the torso, making it harder for the abs to contract and lift the upper body. Long sit-ups can be performed for time or for reps, with the feet anchored or free."
"Title: FYR Breakdancer. Desc: The side kick-through is a full-body movement that involves isometric holds and moving the body through different ranges of motion, beginning in a bear crawl position. The difference between a side kick-through and a sit-through is that your butt stays off the ground throughout the entire rep. It is commonly performed in bodyweight circuits and animal-style flows, but can also work for reps on its own or as part of a dynamic warm-up or mobility sequence.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Which muscles does FYR Breakdancer target?,Abdominals
"Title: FYR Breakdancer. Desc: The side kick-through is a full-body movement that involves isometric holds and moving the body through different ranges of motion, beginning in a bear crawl position. The difference between a side kick-through and a sit-through is that your butt stays off the ground throughout the entire rep. It is commonly performed in bodyweight circuits and animal-style flows, but can also work for reps on its own or as part of a dynamic warm-up or mobility sequence.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What equipment is needed for FYR Breakdancer?,Body Only
"Title: FYR Breakdancer. Desc: The side kick-through is a full-body movement that involves isometric holds and moving the body through different ranges of motion, beginning in a bear crawl position. The difference between a side kick-through and a sit-through is that your butt stays off the ground throughout the entire rep. It is commonly performed in bodyweight circuits and animal-style flows, but can also work for reps on its own or as part of a dynamic warm-up or mobility sequence.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What is the difficulty level of FYR Breakdancer?,Intermediate
"Title: FYR Breakdancer. Desc: The side kick-through is a full-body movement that involves isometric holds and moving the body through different ranges of motion, beginning in a bear crawl position. The difference between a side kick-through and a sit-through is that your butt stays off the ground throughout the entire rep. It is commonly performed in bodyweight circuits and animal-style flows, but can also work for reps on its own or as part of a dynamic warm-up or mobility sequence.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Describe the FYR Breakdancer exercise.,"The side kick-through is a full-body movement that involves isometric holds and moving the body through different ranges of motion, beginning in a bear crawl position. The difference between a side kick-through and a sit-through is that your butt stays off the ground throughout the entire rep. It is commonly performed in bodyweight circuits and animal-style flows, but can also work for reps on its own or as part of a dynamic warm-up or mobility sequence."
Title: Seated leg lift. Desc: The seated leg lift is a bodyweight exercise targeting the muscles of the core and hip flexors. It can be performed for time or reps in the core-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate,Which muscles does Seated leg lift target?,Abdominals
Title: Seated leg lift. Desc: The seated leg lift is a bodyweight exercise targeting the muscles of the core and hip flexors. It can be performed for time or reps in the core-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate,What equipment is needed for Seated leg lift?,Body Only
Title: Seated leg lift. Desc: The seated leg lift is a bodyweight exercise targeting the muscles of the core and hip flexors. It can be performed for time or reps in the core-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate,What is the difficulty level of Seated leg lift?,Intermediate
Title: Seated leg lift. Desc: The seated leg lift is a bodyweight exercise targeting the muscles of the core and hip flexors. It can be performed for time or reps in the core-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate,Describe the Seated leg lift exercise.,The seated leg lift is a bodyweight exercise targeting the muscles of the core and hip flexors. It can be performed for time or reps in the core-focused portion of any workout.
"Title: Gorilla burpee. Desc: The gorilla burpee is a variation of the burpee exercise that consists of a reverse lunge on each leg, a full squat, then a standard burpee. It is extra challenging for the lower body, including the quads, glutes, and hamstrings. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Which muscles does Gorilla burpee target?,Abdominals
"Title: Gorilla burpee. Desc: The gorilla burpee is a variation of the burpee exercise that consists of a reverse lunge on each leg, a full squat, then a standard burpee. It is extra challenging for the lower body, including the quads, glutes, and hamstrings. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What equipment is needed for Gorilla burpee?,Body Only
"Title: Gorilla burpee. Desc: The gorilla burpee is a variation of the burpee exercise that consists of a reverse lunge on each leg, a full squat, then a standard burpee. It is extra challenging for the lower body, including the quads, glutes, and hamstrings. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What is the difficulty level of Gorilla burpee?,Intermediate
"Title: Gorilla burpee. Desc: The gorilla burpee is a variation of the burpee exercise that consists of a reverse lunge on each leg, a full squat, then a standard burpee. It is extra challenging for the lower body, including the quads, glutes, and hamstrings. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Describe the Gorilla burpee exercise.,"The gorilla burpee is a variation of the burpee exercise that consists of a reverse lunge on each leg, a full squat, then a standard burpee. It is extra challenging for the lower body, including the quads, glutes, and hamstrings. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout."
"Title: Knee-in to V-out. Desc: The knee-in to V-out is a bodyweight abdominal exercise performed on the floor. It is similar to both the reverse crunch and the V-up exercise, but combines elements of both. It primarily targets the muscles of the rectus abdominis, or “six-pack” muscles. It can be performed for reps or time, either as part of an ab-focused workout or as a component of a circuit workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Which muscles does Knee-in to V-out target?,Abdominals
"Title: Knee-in to V-out. Desc: The knee-in to V-out is a bodyweight abdominal exercise performed on the floor. It is similar to both the reverse crunch and the V-up exercise, but combines elements of both. It primarily targets the muscles of the rectus abdominis, or “six-pack” muscles. It can be performed for reps or time, either as part of an ab-focused workout or as a component of a circuit workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What equipment is needed for Knee-in to V-out?,Body Only
"Title: Knee-in to V-out. Desc: The knee-in to V-out is a bodyweight abdominal exercise performed on the floor. It is similar to both the reverse crunch and the V-up exercise, but combines elements of both. It primarily targets the muscles of the rectus abdominis, or “six-pack” muscles. It can be performed for reps or time, either as part of an ab-focused workout or as a component of a circuit workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What is the difficulty level of Knee-in to V-out?,Intermediate
"Title: Knee-in to V-out. Desc: The knee-in to V-out is a bodyweight abdominal exercise performed on the floor. It is similar to both the reverse crunch and the V-up exercise, but combines elements of both. It primarily targets the muscles of the rectus abdominis, or “six-pack” muscles. It can be performed for reps or time, either as part of an ab-focused workout or as a component of a circuit workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Describe the Knee-in to V-out exercise.,"The knee-in to V-out is a bodyweight abdominal exercise performed on the floor. It is similar to both the reverse crunch and the V-up exercise, but combines elements of both. It primarily targets the muscles of the rectus abdominis, or “six-pack” muscles. It can be performed for reps or time, either as part of an ab-focused workout or as a component of a circuit workout."
"Title: Bear crawl push-up. Desc: The bear crawl push-up is a variation of the bear crawl hold with a push-up added. It adds an extra coordination and shoulder challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, the shoulders, core, and legs in particular. It can be done as a full-body warm-up, or as part of a bodyweight circuit or flow.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Which muscles does Bear crawl push-up target?,Abdominals
"Title: Bear crawl push-up. Desc: The bear crawl push-up is a variation of the bear crawl hold with a push-up added. It adds an extra coordination and shoulder challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, the shoulders, core, and legs in particular. It can be done as a full-body warm-up, or as part of a bodyweight circuit or flow.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What equipment is needed for Bear crawl push-up?,Body Only
"Title: Bear crawl push-up. Desc: The bear crawl push-up is a variation of the bear crawl hold with a push-up added. It adds an extra coordination and shoulder challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, the shoulders, core, and legs in particular. It can be done as a full-body warm-up, or as part of a bodyweight circuit or flow.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What is the difficulty level of Bear crawl push-up?,Intermediate
"Title: Bear crawl push-up. Desc: The bear crawl push-up is a variation of the bear crawl hold with a push-up added. It adds an extra coordination and shoulder challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, the shoulders, core, and legs in particular. It can be done as a full-body warm-up, or as part of a bodyweight circuit or flow.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Describe the Bear crawl push-up exercise.,"The bear crawl push-up is a variation of the bear crawl hold with a push-up added. It adds an extra coordination and shoulder challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, the shoulders, core, and legs in particular. It can be done as a full-body warm-up, or as part of a bodyweight circuit or flow."
Title: FYR Front Step. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate,Which muscles does FYR Front Step target?,Abdominals
Title: FYR Front Step. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate,What equipment is needed for FYR Front Step?,Body Only
Title: FYR Front Step. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate,What is the difficulty level of FYR Front Step?,Intermediate
"Title: Plank reach. Desc: The plank reach is an exercise targeting the entire core, particularly the oblique muscles. It resembles a plank exercise, but the primary difference is that the lifter extends their arms forward, one at time. The core, especially the obliques, must work hard to maintain stability. It can be performed for time, with holds in the reaching position, or for reps.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Which muscles does Plank reach target?,Abdominals
"Title: Plank reach. Desc: The plank reach is an exercise targeting the entire core, particularly the oblique muscles. It resembles a plank exercise, but the primary difference is that the lifter extends their arms forward, one at time. The core, especially the obliques, must work hard to maintain stability. It can be performed for time, with holds in the reaching position, or for reps.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What equipment is needed for Plank reach?,Body Only
"Title: Plank reach. Desc: The plank reach is an exercise targeting the entire core, particularly the oblique muscles. It resembles a plank exercise, but the primary difference is that the lifter extends their arms forward, one at time. The core, especially the obliques, must work hard to maintain stability. It can be performed for time, with holds in the reaching position, or for reps.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What is the difficulty level of Plank reach?,Intermediate
"Title: Plank reach. Desc: The plank reach is an exercise targeting the entire core, particularly the oblique muscles. It resembles a plank exercise, but the primary difference is that the lifter extends their arms forward, one at time. The core, especially the obliques, must work hard to maintain stability. It can be performed for time, with holds in the reaching position, or for reps.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Describe the Plank reach exercise.,"The plank reach is an exercise targeting the entire core, particularly the oblique muscles. It resembles a plank exercise, but the primary difference is that the lifter extends their arms forward, one at time. The core, especially the obliques, must work hard to maintain stability. It can be performed for time, with holds in the reaching position, or for reps."
"Title: Eiffel Tower leg raise. Desc: The Eiffel Tower leg raise is a bodyweight exercise targeting the muscles of the abs, the rectus abdominis or “six-pack” muscles in particular. It is similar to a V-up, but with the added challenge of “drawing” a pyramid shape in the air with the legs during each rep. It can be performed for time or reps in the core-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Which muscles does Eiffel Tower leg raise target?,Abdominals
"Title: Eiffel Tower leg raise. Desc: The Eiffel Tower leg raise is a bodyweight exercise targeting the muscles of the abs, the rectus abdominis or “six-pack” muscles in particular. It is similar to a V-up, but with the added challenge of “drawing” a pyramid shape in the air with the legs during each rep. It can be performed for time or reps in the core-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What equipment is needed for Eiffel Tower leg raise?,Body Only
"Title: Eiffel Tower leg raise. Desc: The Eiffel Tower leg raise is a bodyweight exercise targeting the muscles of the abs, the rectus abdominis or “six-pack” muscles in particular. It is similar to a V-up, but with the added challenge of “drawing” a pyramid shape in the air with the legs during each rep. It can be performed for time or reps in the core-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What is the difficulty level of Eiffel Tower leg raise?,Intermediate
"Title: Eiffel Tower leg raise. Desc: The Eiffel Tower leg raise is a bodyweight exercise targeting the muscles of the abs, the rectus abdominis or “six-pack” muscles in particular. It is similar to a V-up, but with the added challenge of “drawing” a pyramid shape in the air with the legs during each rep. It can be performed for time or reps in the core-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Describe the Eiffel Tower leg raise exercise.,"The Eiffel Tower leg raise is a bodyweight exercise targeting the muscles of the abs, the rectus abdominis or “six-pack” muscles in particular. It is similar to a V-up, but with the added challenge of “drawing” a pyramid shape in the air with the legs during each rep. It can be performed for time or reps in the core-focused portion of any workout."
"Title: Straight-arm plank. Desc: The straight-arm plank is an exercise targeting the core muscles. It is basically the top of a push-up position, with elbows fully extended and palms on the floor. The position is held for time to target the muscles of the core, as well as the shoulders.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Which muscles does Straight-arm plank target?,Abdominals
"Title: Straight-arm plank. Desc: The straight-arm plank is an exercise targeting the core muscles. It is basically the top of a push-up position, with elbows fully extended and palms on the floor. The position is held for time to target the muscles of the core, as well as the shoulders.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What equipment is needed for Straight-arm plank?,Body Only
"Title: Straight-arm plank. Desc: The straight-arm plank is an exercise targeting the core muscles. It is basically the top of a push-up position, with elbows fully extended and palms on the floor. The position is held for time to target the muscles of the core, as well as the shoulders.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What is the difficulty level of Straight-arm plank?,Intermediate
"Title: Straight-arm plank. Desc: The straight-arm plank is an exercise targeting the core muscles. It is basically the top of a push-up position, with elbows fully extended and palms on the floor. The position is held for time to target the muscles of the core, as well as the shoulders.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Describe the Straight-arm plank exercise.,"The straight-arm plank is an exercise targeting the core muscles. It is basically the top of a push-up position, with elbows fully extended and palms on the floor. The position is held for time to target the muscles of the core, as well as the shoulders."
"Title: Plank up-down. Desc: The plank up-down is a variation of the plank push-up that ends in an elbow plank rather than with the chest on the ground. It involves transitioning between the two positions one arm at a time, rather than two. It puts more stress on the triceps and core than traditional planks. It can be performed for time or reps in any bodyweight workout or during the core-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Which muscles does Plank up-down target?,Abdominals
"Title: Plank up-down. Desc: The plank up-down is a variation of the plank push-up that ends in an elbow plank rather than with the chest on the ground. It involves transitioning between the two positions one arm at a time, rather than two. It puts more stress on the triceps and core than traditional planks. It can be performed for time or reps in any bodyweight workout or during the core-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What equipment is needed for Plank up-down?,Body Only
"Title: Plank up-down. Desc: The plank up-down is a variation of the plank push-up that ends in an elbow plank rather than with the chest on the ground. It involves transitioning between the two positions one arm at a time, rather than two. It puts more stress on the triceps and core than traditional planks. It can be performed for time or reps in any bodyweight workout or during the core-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What is the difficulty level of Plank up-down?,Intermediate
"Title: Plank up-down. Desc: The plank up-down is a variation of the plank push-up that ends in an elbow plank rather than with the chest on the ground. It involves transitioning between the two positions one arm at a time, rather than two. It puts more stress on the triceps and core than traditional planks. It can be performed for time or reps in any bodyweight workout or during the core-focused portion of any workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Describe the Plank up-down exercise.,"The plank up-down is a variation of the plank push-up that ends in an elbow plank rather than with the chest on the ground. It involves transitioning between the two positions one arm at a time, rather than two. It puts more stress on the triceps and core than traditional planks. It can be performed for time or reps in any bodyweight workout or during the core-focused portion of any workout."
"Title: Frog kick. Desc: The frog kick is an explosive bodyweight movement that involves hopping the rear legs up and forward from a straight-arm plank position. It targets the legs, core, and shoulders, but is also a high-intensity conditioning movement that will raise core body temperature and burn serious calories. It can be performed for time or reps as part of any athleticism-focused or fat-loss circuit or workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",Which muscles does Frog kick target?,Abdominals
"Title: Frog kick. Desc: The frog kick is an explosive bodyweight movement that involves hopping the rear legs up and forward from a straight-arm plank position. It targets the legs, core, and shoulders, but is also a high-intensity conditioning movement that will raise core body temperature and burn serious calories. It can be performed for time or reps as part of any athleticism-focused or fat-loss circuit or workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What equipment is needed for Frog kick?,Body Only
"Title: Frog kick. Desc: The frog kick is an explosive bodyweight movement that involves hopping the rear legs up and forward from a straight-arm plank position. It targets the legs, core, and shoulders, but is also a high-intensity conditioning movement that will raise core body temperature and burn serious calories. It can be performed for time or reps as part of any athleticism-focused or fat-loss circuit or workout.. Equipment: Body Only. BodyPart: Abdominals. Level: Intermediate",What is the difficulty level of Frog kick?,Intermediate
